Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Training effect aeroob,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. balans grondcontacttijd,Gem. GAP,Gem. loopcadans,Max. loopcadans,Normalized Power® (NP®),Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Gem. vermogen,Max. vermogen,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Stappen,Totaal herhalingen,Totaal sets,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Stresswijziging,Stress vooraf,Stress achteraf,Gemiddelde stress,Max stress,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Wegwielrennen,2025-04-02 09:25:41,false,"Muro Road Cycling","139.11","2,709","06:59:59","141","173","5.0","--","--","19.9","58.3","2,386","2,385","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","12.0","Nee","00:08:44.8","28","36.0","33","16","45","--","--","--","--","--","06:53:53","10:16:17","-1","875"
Zwembad,2025-04-01 17:01:07,false,"Pool Swim","800","204","00:38:03","109","144","2.0","--","--","2:10","0:58","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","421","46","24","--","--","--","--","Nee","00:00:00.9","42","--","--","--","--","--","--","--","--","--","00:17:16","00:44:10","--","--"
Wegwielrennen,2025-04-01 12:35:53,false,"Petra Road Cycling","46.34","763","01:41:56","149","177","4.5","--","--","27.3","56.7","305","396","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","24.0","Nee","00:03:12.6","10","38.0","33","15","40","--","--","--","--","--","01:41:41","02:00:32","-0","148"
Wegwielrennen,2025-04-01 09:51:23,false,"Muro Road Cycling","30.77","530","01:10:01","142","169","3.5","--","--","26.4","50.0","321","237","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","19.0","Nee","00:01:40.4","7","24.0","32","19","42","--","--","--","--","--","01:09:52","01:15:13","4","174"
Hardlopen,2025-03-31 17:48:09,false,"Muro Running","2.54","137","00:15:35","139","151","2.4","167","187","6:09","4:56","3","8","0.98","9.5","9.2","258","--","6:05","--","--","200","0.0","--","196","267","--","--","--","2,622","--","--","--","Nee","00:03:11.4","3","--","--","--","--","--","--","--","--","--","00:15:28","00:16:02","1","8"
Zwembad,2025-03-31 16:25:56,false,"Pool Swim","1,050","326","00:46:08","130","166","2.8","--","--","2:25","0:41","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","567","50","22","--","--","--","--","Nee","00:00:03.3","43","--","--","--","--","--","--","--","--","--","00:25:27","01:08:28","--","--"
Wegwielrennen,2025-03-31 10:03:43,false,"Muro Road Cycling","65.08","1,289","02:48:15","150","181","5.0","--","--","23.2","52.1","893","903","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","17.0","Nee","00:00:14.9","14","32.0","33","15","44","--","--","--","--","--","02:46:53","04:30:11","1","223"
Wegwielrennen,2025-03-30 16:14:32,false,"Muro Road Cycling","41.68","845","01:46:52","158","182","5.0","--","--","23.4","52.3","381","409","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","18.0","Nee","00:04:54.6","9","27.0","35","22","43","--","--","--","--","--","01:46:43","02:07:30","0","361"
Wegwielrennen,2025-03-22 09:41:25,false,"Amsterdam Road Cycling","40.37","708","01:40:04","142","176","3.8","--","--","24.2","44.2","71","68","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","17.0","Nee","00:01:11.9","9","23.0","33","20","45","--","--","--","--","--","01:39:35","02:10:50","-3","8"
Wegwielrennen,2025-03-21 14:16:32,false,"Amsterdam Road Cycling","17.36","349","00:41:18","--","--","0.1","--","--","25.2","39.7","57","50","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","23.0","Nee","00:05:29.2","4","25.0","--","--","--","--","--","--","--","--","00:41:12","00:48:38","-1","9"
Zwembad,2025-03-19 14:17:17,false,"Pool Swim","1,075","205","00:34:06","115","145","2.1","--","--","2:32","1:40","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","637","53","23","--","--","--","--","Nee","00:00:00.8","24","--","--","--","--","--","--","--","--","--","00:27:14","00:41:51","--","--"
Zwembad,2025-03-17 21:05:59,false,"Pool Swim","1,400","322","00:59:34","110","152","2.3","--","--","2:09","0:48","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","718","45","24","--","--","--","--","Nee","00:00:07.5","60","--","--","--","--","--","--","--","--","--","00:30:02","01:01:44","--","--"
Hardlopen,2025-03-16 12:33:11,false,"Amsterdam Running","16.07","798","01:27:46","148","160","4.4","178","214","5:28","3:41","31","27","1.03","8.0","8.4","228","50.9% L / 49.1% R","5:28","--","--","205","0.0","--","203","312","--","--","--","15,434","--","--","--","Nee","00:00:20.8","17","--","39","19","48","--","--","--","--","--","01:27:38","01:27:50","-1","9"
Hardlopen,2025-03-14 13:18:48,false,"Amsterdam - Friday Running","7.26","355","00:36:13","158","178","4.0","175","240","4:59","3:03","16","15","1.12","8.2","9.0","230","--","4:58","--","--","236","0.0","--","225","348","--","--","--","6,266","--","--","--","Nee","00:00:01","11","--","--","--","--","--","--","--","--","--","00:36:09","00:36:13","-2","5"
Zwembad,2025-03-13 17:26:57,false,"Pool Swim","1,250","2,049","00:32:02","102","124","1.0","--","--","2:06","1:08","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","641","44","24","--","--","--","--","Nee","00:00:04.3","29","--","--","--","--","--","--","--","--","--","00:26:17","00:34:04","--","--"
Hardlopen,2025-03-12 19:32:43,false,"Amsterdam Running","4.99","237","00:21:36","174","181","4.0","185","211","4:20","3:07","1","1","1.24","6.8","8.8","189","49.6% L / 50.4% R","4:21","--","--","246","0.0","--","243","320","--","--","--","3,934","--","--","--","Nee","00:04:14.4","5","--","45","33","48","--","--","--","--","--","00:21:23","00:21:38","-1","1"
Hardlopen,2025-03-12 18:58:21,false,"Amsterdam Running","0.73","37","00:04:03.6","150","161","1.7","174","181","5:34","4:40","--","--","1.04","8.3","8.7","213","49.8% L / 50.2% R","5:26","--","--","197","0.0","--","196","243","--","--","--","702","--","--","--","Nee","00:04:03.6","1","--","33","30","37","--","--","--","--","--","00:04:03.6","00:04:42.2","2","3"
Zwembad,2025-03-11 15:53:32,false,"Pool Swim","1,400","125","00:37:32","87","116","0.4","--","--","2:01","1:12","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","685","42","24","--","--","--","--","Nee","00:00:02.0","35","--","--","--","--","--","--","--","--","--","00:28:10","00:39:08","--","--"
Hardlopen,2025-03-09 13:18:36,false,"Amsterdam Running","10.29","490","00:54:13","148","171","4.0","172","198","5:16","3:46","20","13","1.10","8.7","9.5","242","--","5:15","--","--","217","0.0","--","216","315","--","--","--","9,374","--","--","--","Nee","00:01:31.8","11","--","--","--","--","--","--","--","--","--","00:54:04","01:10:47","0","11"
Wegwielrennen,2025-03-08 09:40:22,false,"Amsterdam Road Cycling","92.18","1,613","03:26:39","155","179","5.0","--","--","26.8","39.0","150","148","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","13.0","Nee","00:05:54.8","19","23.0","35","21","44","--","--","--","--","--","03:25:38","04:31:19","-4","13"
Zwembad,2025-03-06 17:13:56,false,"Pool Swim","1,725","2,113","00:41:03","123","150","2.4","--","--","2:07","1:11","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","896","45","25","--","--","--","--","Nee","00:00:00.5","33","--","--","--","--","--","--","--","--","--","00:36:28","00:44:50","--","--"
